TOP.69edfd87.0005053d	START
TOP.69ee25e6.0000327a	user_options->machine_readable	0
TOP.69ee25e6.0000327a	user_options->markov_classic	0
TOP.69ee25e6.0000327a	user_options->markov	1
TOP.69ee25e6.0000327a	user_options->markov_inverse	0
TOP.69ee25e6.0000327a	user_options->markov_threshold	256
TOP.69ee25e6.0000327a	user_options->metal_compiler_runtime	120
TOP.69ee25e6.0000327a	user_options->multiply_accel	1
TOP.69ee25e6.0000327a	user_options->backend_info	0
TOP.69ee25e6.0000327a	user_options->backend_vector_width	0
TOP.69ee25e6.0000327a	user_options->optimized_kernel	0
TOP.69ee25e6.0000327a	user_options->outfile_autohex	1
TOP.69ee25e6.0000327a	user_options->outfile_check_timer	5
TOP.69ee25e6.0000327a	user_options->outfile_format	3
TOP.69ee25e6.0000327a	user_options->outfile_json	0
TOP.69ee25e6.0000327a	user_options->wordlist_autohex	1
TOP.69ee25e6.0000327a	user_options->potfile	0
TOP.69ee25e6.0000327a	user_options->progress_only	0
TOP.69ee25e6.0000327a	user_options->quiet	0
TOP.69ee25e6.0000327a	user_options->remove	0
TOP.69ee25e6.0000327a	user_options->remove_timer	60
TOP.69ee25e6.0000327a	user_options->restore	0
TOP.69ee25e6.0000327a	user_options->restore_enable	1
TOP.69ee25e6.0000327a	user_options->restore_timer	1
TOP.69ee25e6.0000327a	user_options->rp_files_cnt	0
TOP.69ee25e6.0000327a	user_options->rp_gen	0
TOP.69ee25e6.0000327a	user_options->rp_gen_func_max	4
TOP.69ee25e6.0000327a	user_options->rp_gen_func_min	1
TOP.69ee25e6.0000327a	user_options->rp_gen_seed	0
TOP.69ee25e6.0000327a	user_options->runtime	0
TOP.69ee25e6.0000327a	user_options->scrypt_tmto	0
TOP.69ee25e6.0000327a	user_options->segment_size	33554432
TOP.69ee25e6.0000327a	user_options->self_test	1
TOP.69ee25e6.0000327a	user_options->slow_candidates	0
TOP.69ee25e6.0000327a	user_options->show	0
TOP.69ee25e6.0000327a	user_options->speed_only	0
TOP.69ee25e6.0000327a	user_options->spin_damp	0
TOP.69ee25e6.0000327a	user_options->status	0
TOP.69ee25e6.0000327a	user_options->status_json	0
TOP.69ee25e6.0000327a	user_options->status_timer	10
TOP.69ee25e6.0000327a	user_options->stdout_flag	0
TOP.69ee25e6.0000327a	user_options->usage	0
TOP.69ee25e6.0000327a	user_options->username	0
TOP.69ee25e6.0000327a	user_options->veracrypt_pim_start	485
TOP.69ee25e6.0000327a	user_options->veracrypt_pim_stop	485
TOP.69ee25e6.0000327a	user_options->version	0
TOP.69ee25e6.0000327a	user_options->workload_profile	2
TOP.69ee25e6.0000327a	user_options->brain_client	0
TOP.69ee25e6.0000327a	user_options->brain_client_features	2
TOP.69ee25e6.0000327a	user_options->brain_server	0
TOP.69ee25e6.0000327a	user_options->brain_server_timer	300
TOP.69ee25e6.0000327a	user_options->brain_port	6863
TOP.69ee25e6.0000327a	user_options->brain_session	0
TOP.69ee25e6.0000327a	hashes->hashfile	test_hash.txt
TOP.69ee25e6.0000327a	hashes->hashlist_mode	5
TOP.69ee25e6.0000327a	hashes->hashlist_format	0
TOP.69ee25e6.0000327a	hashes->hashes_cnt	0
TOP.69ee25e6.0000327a	hashes->digests_cnt	1
TOP.69ee25e6.0000327a	hashes->digests_done_pot	0
TOP.69ee25e6.0000327a	hashes->digests_done_zero	0
TOP.69ee25e6.0000327a	hashes->digests_done	0
TOP.69ee25e6.0000327a	hashes->salts_cnt	1
TOP.69ee25e6.0000327a	hashes->salts_done	0
TOP.69ee25e6.0000327a	SUB.69ee25e8.0005c545	START
TOP.69ee25e6.0000327a	SUB.69ee25e8.0005c545	straight_ctx->dict	test_word.txt
TOP.69ee25e6.0000327a	SUB.69ee25e8.0005c545	runtime_start	1777214952
TOP.69ee25e6.0000327a	SUB.69ee25e8.0005c545	runtime_stop	1777214952
TOP.69ee25e6.0000327a	SUB.69ee25e8.0005c545	hashes->digests_done_new	1
TOP.69ee25e6.0000327a	SUB.69ee25e8.0005c545	status-after-work	6
TOP.69ee25e6.0000327a	SUB.69ee25e8.0005c545	STOP
TOP.69ee25e6.0000327a	proc_start	1777214950
TOP.69ee25e6.0000327a	proc_stop	1777214953
TOP.69ee25e6.0000327a	STOP
TOP.69ee26d2.000de232	START
TOP.69ee26d2.000de232	folder_config->cwd	C:\Users\Lenovo\Desktop\Mini Project\Penetration-Testing-Framework-API\tools\hashcat
TOP.69ee26d2.000de232	folder_config->install_dir	.
TOP.69ee26d2.000de232	folder_config->profile_dir	.
TOP.69ee26d2.000de232	folder_config->session_dir	.
TOP.69ee26d2.000de232	folder_config->shared_dir	.
TOP.69ee26d2.000de232	user_options->encoding_from	utf-8
TOP.69ee26d2.000de232	user_options->encoding_to	utf-8
TOP.69ee26d2.000de232	user_options->outfile	C:\Users\Lenovo\Desktop\Mini Project\Penetration-Testing-Framework-API\reports\hashcat_output\cracked_20260426_202306.txt
TOP.69ee26d2.000de232	user_options->rule_buf_l	:
TOP.69ee26d2.000de232	user_options->rule_buf_r	:
TOP.69ee26d2.000de232	user_options->session	hashcat
TOP.69ee26d2.000de232	user_options->separator	:
TOP.69ee26d2.000de232	user_options->limit	0
TOP.69ee26d2.000de232	user_options->skip	0
TOP.69ee26d2.000de232	user_options->attack_mode	0
TOP.69ee26d2.000de232	user_options->backend_devices_virtmulti	1
TOP.69ee26d2.000de232	user_options->backend_devices_virthost	1
TOP.69ee26d2.000de232	user_options->backend_devices_keepfree	0
TOP.69ee26d2.000de232	user_options->benchmark	0
TOP.69ee26d2.000de232	user_options->benchmark_all	0
TOP.69ee26d2.000de232	user_options->benchmark_max	99999
TOP.69ee26d2.000de232	user_options->benchmark_min	0
TOP.69ee26d2.000de232	user_options->bitmap_max	18
TOP.69ee26d2.000de232	user_options->bitmap_min	16
TOP.69ee26d2.000de232	user_options->debug_mode	0
TOP.69ee26d2.000de232	user_options->dynamic_x	0
TOP.69ee26d2.000de232	user_options->hash_info	0
TOP.69ee26d2.000de232	user_options->force	1
TOP.69ee26d2.000de232	user_options->hwmon	1
TOP.69ee26d2.000de232	user_options->hwmon_temp_abort	90
TOP.69ee26d2.000de232	user_options->hash_mode	0
TOP.69ee26d2.000de232	user_options->hex_charset	0
TOP.69ee26d2.000de232	user_options->hex_salt	0
TOP.69ee26d2.000de232	user_options->hex_wordlist	0
TOP.69ee26d2.000de232	user_options->hook_threads	12
TOP.69ee26d2.000de232	user_options->identify	0
TOP.69ee26d2.000de232	user_options->increment	0
TOP.69ee26d2.000de232	user_options->increment_max	256
TOP.69ee26d2.000de232	user_options->increment_min	1
TOP.69ee26d2.000de232	user_options->keep_guessing	0
TOP.69ee26d2.000de232	user_options->kernel_accel	0
TOP.69ee26d2.000de232	user_options->kernel_loops	0
TOP.69ee26d2.000de232	user_options->kernel_threads	0
TOP.69ee26d2.000de232	user_options->keyspace	0
TOP.69ee26d2.000de232	user_options->total_candidates	0
TOP.69ee26d2.000de232	user_options->left	0
TOP.69ee26d2.000de232	user_options->logfile	1
TOP.69ee26d2.000de232	user_options->loopback	0
TOP.69ee26d2.000de232	user_options->machine_readable	0
TOP.69ee26d2.000de232	user_options->markov_classic	0
TOP.69ee26d2.000de232	user_options->markov	1
TOP.69ee26d2.000de232	user_options->markov_inverse	0
TOP.69ee26d2.000de232	user_options->markov_threshold	256
TOP.69ee26d2.000de232	user_options->metal_compiler_runtime	120
TOP.69ee26d2.000de232	user_options->multiply_accel	1
TOP.69ee26d2.000de232	user_options->backend_info	0
TOP.69ee26d2.000de232	user_options->backend_vector_width	0
TOP.69ee26d2.000de232	user_options->optimized_kernel	0
TOP.69ee26d2.000de232	user_options->outfile_autohex	1
TOP.69ee26d2.000de232	user_options->outfile_check_timer	5
TOP.69ee26d2.000de232	user_options->outfile_format	2
TOP.69ee26d2.000de232	user_options->outfile_json	0
TOP.69ee26d2.000de232	user_options->wordlist_autohex	1
TOP.69ee26d2.000de232	user_options->potfile	1
TOP.69ee26d2.000de232	user_options->progress_only	0
TOP.69ee26d2.000de232	user_options->quiet	0
TOP.69ee26d2.000de232	user_options->remove	0
TOP.69ee26d2.000de232	user_options->remove_timer	60
TOP.69ee26d2.000de232	user_options->restore	0
TOP.69ee26d2.000de232	user_options->restore_enable	1
TOP.69ee26d2.000de232	user_options->restore_timer	1
TOP.69ee26d2.000de232	user_options->rp_files_cnt	0
TOP.69ee26d2.000de232	user_options->rp_gen	0
TOP.69ee26d2.000de232	user_options->rp_gen_func_max	4
TOP.69ee26d2.000de232	user_options->rp_gen_func_min	1
TOP.69ee26d2.000de232	user_options->rp_gen_seed	0
TOP.69ee26d2.000de232	user_options->runtime	0
TOP.69ee26d2.000de232	user_options->scrypt_tmto	0
TOP.69ee26d2.000de232	user_options->segment_size	33554432
TOP.69ee26d2.000de232	user_options->self_test	1
TOP.69ee26d2.000de232	user_options->slow_candidates	0
TOP.69ee26d2.000de232	user_options->show	0
TOP.69ee26d2.000de232	user_options->speed_only	0
TOP.69ee26d2.000de232	user_options->spin_damp	0
TOP.69ee26d2.000de232	user_options->status	0
TOP.69ee26d2.000de232	user_options->status_json	0
TOP.69ee26d2.000de232	user_options->status_timer	10
TOP.69ee26d2.000de232	user_options->stdout_flag	0
TOP.69ee26d2.000de232	user_options->usage	0
TOP.69ee26d2.000de232	user_options->username	0
TOP.69ee26d2.000de232	user_options->veracrypt_pim_start	485
TOP.69ee26d2.000de232	user_options->veracrypt_pim_stop	485
TOP.69ee26d2.000de232	user_options->version	0
TOP.69ee26d2.000de232	user_options->workload_profile	2
TOP.69ee26d2.000de232	user_options->brain_client	0
TOP.69ee26d2.000de232	user_options->brain_client_features	2
TOP.69ee26d2.000de232	user_options->brain_server	0
TOP.69ee26d2.000de232	user_options->brain_server_timer	300
TOP.69ee26d2.000de232	user_options->brain_port	6863
TOP.69ee26d2.000de232	user_options->brain_session	0
TOP.69ee26d2.000de232	proc_start	1777215186
TOP.69ee26d2.000de232	proc_stop	1777215188
TOP.69ee26d2.000de232	STOP
TOP.69ee277c.00069007	START
TOP.69ee277c.00069007	folder_config->cwd	C:\Users\Lenovo\Desktop\Mini Project\Penetration-Testing-Framework-API\tools\hashcat
TOP.69ee277c.00069007	folder_config->install_dir	.
TOP.69ee277c.00069007	folder_config->profile_dir	.
TOP.69ee277c.00069007	folder_config->session_dir	.
TOP.69ee277c.00069007	folder_config->shared_dir	.
TOP.69ee277c.00069007	user_options->encoding_from	utf-8
TOP.69ee277c.00069007	user_options->encoding_to	utf-8
TOP.69ee277c.00069007	user_options->outfile	cracked_test.txt
TOP.69ee277c.00069007	user_options->rule_buf_l	:
TOP.69ee277c.00069007	user_options->rule_buf_r	:
TOP.69ee277c.00069007	user_options->session	hashcat
TOP.69ee277c.00069007	user_options->separator	:
TOP.69ee277c.00069007	user_options->limit	0
TOP.69ee277c.00069007	user_options->skip	0
TOP.69ee277c.00069007	user_options->attack_mode	0
TOP.69ee277c.00069007	user_options->backend_devices_virtmulti	1
TOP.69ee277c.00069007	user_options->backend_devices_virthost	1
TOP.69ee277c.00069007	user_options->backend_devices_keepfree	0
TOP.69ee277c.00069007	user_options->benchmark	0
TOP.69ee277c.00069007	user_options->benchmark_all	0
TOP.69ee277c.00069007	user_options->benchmark_max	99999
TOP.69ee277c.00069007	user_options->benchmark_min	0
TOP.69ee277c.00069007	user_options->bitmap_max	18
TOP.69ee277c.00069007	user_options->bitmap_min	16
TOP.69ee277c.00069007	user_options->debug_mode	0
TOP.69ee277c.00069007	user_options->dynamic_x	0
TOP.69ee277c.00069007	user_options->hash_info	0
TOP.69ee277c.00069007	user_options->force	1
TOP.69ee277c.00069007	user_options->hwmon	1
TOP.69ee277c.00069007	user_options->hwmon_temp_abort	90
TOP.69ee277c.00069007	user_options->hash_mode	0
TOP.69ee277c.00069007	user_options->hex_charset	0
TOP.69ee277c.00069007	user_options->hex_salt	0
TOP.69ee277c.00069007	user_options->hex_wordlist	0
TOP.69ee277c.00069007	user_options->hook_threads	12
TOP.69ee277c.00069007	user_options->identify	0
TOP.69ee277c.00069007	user_options->increment	0
TOP.69ee277c.00069007	user_options->increment_max	256
TOP.69ee277c.00069007	user_options->increment_min	1
TOP.69ee277c.00069007	user_options->keep_guessing	0
TOP.69ee277c.00069007	user_options->kernel_accel	0
TOP.69ee277c.00069007	user_options->kernel_loops	0
TOP.69ee277c.00069007	user_options->kernel_threads	0
TOP.69ee277c.00069007	user_options->keyspace	0
TOP.69ee277c.00069007	user_options->total_candidates	0
TOP.69ee277c.00069007	user_options->left	0
TOP.69ee277c.00069007	user_options->logfile	1
TOP.69ee277c.00069007	user_options->loopback	0
TOP.69ee277c.00069007	user_options->machine_readable	0
TOP.69ee277c.00069007	user_options->markov_classic	0
TOP.69ee277c.00069007	user_options->markov	1
TOP.69ee277c.00069007	user_options->markov_inverse	0
TOP.69ee277c.00069007	user_options->markov_threshold	256
TOP.69ee277c.00069007	user_options->metal_compiler_runtime	120
TOP.69ee277c.00069007	user_options->multiply_accel	1
TOP.69ee277c.00069007	user_options->backend_info	0
TOP.69ee277c.00069007	user_options->backend_vector_width	0
TOP.69ee277c.00069007	user_options->optimized_kernel	0
TOP.69ee277c.00069007	user_options->outfile_autohex	1
TOP.69ee277c.00069007	user_options->outfile_check_timer	5
TOP.69ee277c.00069007	user_options->outfile_format	3
TOP.69ee277c.00069007	user_options->outfile_json	0
TOP.69ee277c.00069007	user_options->wordlist_autohex	1
TOP.69ee277c.00069007	user_options->potfile	0
TOP.69ee277c.00069007	user_options->progress_only	0
TOP.69ee277c.00069007	user_options->quiet	0
TOP.69ee277c.00069007	user_options->remove	0
TOP.69ee277c.00069007	user_options->remove_timer	60
TOP.69ee277c.00069007	user_options->restore	0
TOP.69ee277c.00069007	user_options->restore_enable	1
TOP.69ee277c.00069007	user_options->restore_timer	1
TOP.69ee277c.00069007	user_options->rp_files_cnt	0
TOP.69ee277c.00069007	user_options->rp_gen	0
TOP.69ee277c.00069007	user_options->rp_gen_func_max	4
TOP.69ee277c.00069007	user_options->rp_gen_func_min	1
TOP.69ee277c.00069007	user_options->rp_gen_seed	0
TOP.69ee277c.00069007	user_options->runtime	0
TOP.69ee277c.00069007	user_options->scrypt_tmto	0
TOP.69ee277c.00069007	user_options->segment_size	33554432
TOP.69ee277c.00069007	user_options->self_test	1
TOP.69ee277c.00069007	user_options->slow_candidates	0
TOP.69ee277c.00069007	user_options->show	0
TOP.69ee277c.00069007	user_options->speed_only	0
TOP.69ee277c.00069007	user_options->spin_damp	0
TOP.69ee277c.00069007	user_options->status	0
TOP.69ee277c.00069007	user_options->status_json	0
TOP.69ee277c.00069007	user_options->status_timer	10
TOP.69ee277c.00069007	user_options->stdout_flag	0
TOP.69ee277c.00069007	user_options->usage	0
TOP.69ee277c.00069007	user_options->username	0
TOP.69ee277c.00069007	user_options->veracrypt_pim_start	485
TOP.69ee277c.00069007	user_options->veracrypt_pim_stop	485
TOP.69ee277c.00069007	user_options->version	0
TOP.69ee277c.00069007	user_options->workload_profile	2
TOP.69ee277c.00069007	user_options->brain_client	0
TOP.69ee277c.00069007	user_options->brain_client_features	2
TOP.69ee277c.00069007	user_options->brain_server	0
TOP.69ee277c.00069007	user_options->brain_server_timer	300
TOP.69ee277c.00069007	user_options->brain_port	6863
TOP.69ee277c.00069007	user_options->brain_session	0
TOP.69ee277c.00069007	hashes->hashfile	test_hash.txt
TOP.69ee277c.00069007	hashes->hashlist_mode	5
TOP.69ee277c.00069007	hashes->hashlist_format	0
TOP.69ee277c.00069007	hashes->hashes_cnt	0
TOP.69ee277c.00069007	hashes->digests_cnt	1
TOP.69ee277c.00069007	hashes->digests_done_pot	0
TOP.69ee277c.00069007	hashes->digests_done_zero	0
TOP.69ee277c.00069007	hashes->digests_done	0
TOP.69ee277c.00069007	hashes->salts_cnt	1
TOP.69ee277c.00069007	hashes->salts_done	0
TOP.69ee277c.00069007	SUB.69ee277e.000b46f8	START
TOP.69ee277c.00069007	SUB.69ee277e.000b46f8	straight_ctx->dict	test_word.txt
TOP.69ee277c.00069007	SUB.69ee277e.000b46f8	runtime_start	1777215358
TOP.69ee277c.00069007	SUB.69ee277e.000b46f8	runtime_stop	1777215358
TOP.69ee277c.00069007	SUB.69ee277e.000b46f8	hashes->digests_done_new	1
TOP.69ee277c.00069007	SUB.69ee277e.000b46f8	status-after-work	6
TOP.69ee277c.00069007	SUB.69ee277e.000b46f8	STOP
TOP.69ee277c.00069007	proc_start	1777215356
TOP.69ee277c.00069007	proc_stop	1777215359
TOP.69ee277c.00069007	STOP
TOP.69ee281e.000b95ee	START
TOP.69ee281e.000b95ee	folder_config->cwd	C:\Users\Lenovo\Desktop\Mini Project\Penetration-Testing-Framework-API\tools\hashcat
TOP.69ee281e.000b95ee	folder_config->install_dir	.
TOP.69ee281e.000b95ee	folder_config->profile_dir	.
TOP.69ee281e.000b95ee	folder_config->session_dir	.
TOP.69ee281e.000b95ee	folder_config->shared_dir	.
TOP.69ee281e.000b95ee	user_options->encoding_from	utf-8
TOP.69ee281e.000b95ee	user_options->encoding_to	utf-8
TOP.69ee281e.000b95ee	user_options->outfile	C:\Users\Lenovo\Desktop\Mini Project\Penetration-Testing-Framework-API\reports\hashcat_output\cracked_20260426_202838.txt
TOP.69ee281e.000b95ee	user_options->rule_buf_l	:
TOP.69ee281e.000b95ee	user_options->rule_buf_r	:
TOP.69ee281e.000b95ee	user_options->session	hashcat
TOP.69ee281e.000b95ee	user_options->separator	:
TOP.69ee281e.000b95ee	user_options->limit	0
TOP.69ee281e.000b95ee	user_options->skip	0
TOP.69ee281e.000b95ee	user_options->attack_mode	3
TOP.69ee281e.000b95ee	user_options->backend_devices_virtmulti	1
TOP.69ee281e.000b95ee	user_options->backend_devices_virthost	1
TOP.69ee281e.000b95ee	user_options->backend_devices_keepfree	0
TOP.69ee281e.000b95ee	user_options->benchmark	0
TOP.69ee281e.000b95ee	user_options->benchmark_all	0
TOP.69ee281e.000b95ee	user_options->benchmark_max	99999
TOP.69ee281e.000b95ee	user_options->benchmark_min	0
TOP.69ee281e.000b95ee	user_options->bitmap_max	18
TOP.69ee281e.000b95ee	user_options->bitmap_min	16
TOP.69ee281e.000b95ee	user_options->debug_mode	0
TOP.69ee281e.000b95ee	user_options->dynamic_x	0
TOP.69ee281e.000b95ee	user_options->hash_info	0
TOP.69ee281e.000b95ee	user_options->force	1
TOP.69ee281e.000b95ee	user_options->hwmon	1
TOP.69ee281e.000b95ee	user_options->hwmon_temp_abort	90
TOP.69ee281e.000b95ee	user_options->hash_mode	0
TOP.69ee281e.000b95ee	user_options->hex_charset	0
TOP.69ee281e.000b95ee	user_options->hex_salt	0
TOP.69ee281e.000b95ee	user_options->hex_wordlist	0
TOP.69ee281e.000b95ee	user_options->hook_threads	12
TOP.69ee281e.000b95ee	user_options->identify	0
TOP.69ee281e.000b95ee	user_options->increment	0
TOP.69ee281e.000b95ee	user_options->increment_max	256
TOP.69ee281e.000b95ee	user_options->increment_min	1
TOP.69ee281e.000b95ee	user_options->keep_guessing	0
TOP.69ee281e.000b95ee	user_options->kernel_accel	0
TOP.69ee281e.000b95ee	user_options->kernel_loops	0
TOP.69ee281e.000b95ee	user_options->kernel_threads	0
TOP.69ee281e.000b95ee	user_options->keyspace	0
TOP.69ee281e.000b95ee	user_options->total_candidates	0
TOP.69ee281e.000b95ee	user_options->left	0
TOP.69ee281e.000b95ee	user_options->logfile	1
TOP.69ee281e.000b95ee	user_options->loopback	0
TOP.69ee281e.000b95ee	user_options->machine_readable	0
TOP.69ee281e.000b95ee	user_options->markov_classic	0
TOP.69ee281e.000b95ee	user_options->markov	1
TOP.69ee281e.000b95ee	user_options->markov_inverse	0
TOP.69ee281e.000b95ee	user_options->markov_threshold	256
TOP.69ee281e.000b95ee	user_options->metal_compiler_runtime	120
TOP.69ee281e.000b95ee	user_options->multiply_accel	1
TOP.69ee281e.000b95ee	user_options->backend_info	0
TOP.69ee281e.000b95ee	user_options->backend_vector_width	0
TOP.69ee281e.000b95ee	user_options->optimized_kernel	0
TOP.69ee281e.000b95ee	user_options->outfile_autohex	1
TOP.69ee281e.000b95ee	user_options->outfile_check_timer	5
TOP.69ee281e.000b95ee	user_options->outfile_format	2
TOP.69ee281e.000b95ee	user_options->outfile_json	0
TOP.69ee281e.000b95ee	user_options->wordlist_autohex	1
TOP.69ee281e.000b95ee	user_options->potfile	1
TOP.69ee281e.000b95ee	user_options->progress_only	0
TOP.69ee281e.000b95ee	user_options->quiet	0
TOP.69ee281e.000b95ee	user_options->remove	0
TOP.69ee281e.000b95ee	user_options->remove_timer	60
TOP.69ee281e.000b95ee	user_options->restore	0
TOP.69ee281e.000b95ee	user_options->restore_enable	1
TOP.69ee281e.000b95ee	user_options->restore_timer	1
TOP.69ee281e.000b95ee	user_options->rp_files_cnt	0
TOP.69ee281e.000b95ee	user_options->rp_gen	0
TOP.69ee281e.000b95ee	user_options->rp_gen_func_max	4
TOP.69ee281e.000b95ee	user_options->rp_gen_func_min	1
TOP.69ee281e.000b95ee	user_options->rp_gen_seed	0
TOP.69ee281e.000b95ee	user_options->runtime	0
TOP.69ee281e.000b95ee	user_options->scrypt_tmto	0
TOP.69ee281e.000b95ee	user_options->segment_size	33554432
TOP.69ee281e.000b95ee	user_options->self_test	1
TOP.69ee281e.000b95ee	user_options->slow_candidates	0
TOP.69ee281e.000b95ee	user_options->show	0
TOP.69ee281e.000b95ee	user_options->speed_only	0
TOP.69ee281e.000b95ee	user_options->spin_damp	0
TOP.69ee281e.000b95ee	user_options->status	0
TOP.69ee281e.000b95ee	user_options->status_json	0
TOP.69ee281e.000b95ee	user_options->status_timer	10
TOP.69ee281e.000b95ee	user_options->stdout_flag	0
TOP.69ee281e.000b95ee	user_options->usage	0
TOP.69ee281e.000b95ee	user_options->username	0
TOP.69ee281e.000b95ee	user_options->veracrypt_pim_start	485
TOP.69ee281e.000b95ee	user_options->veracrypt_pim_stop	485
TOP.69ee281e.000b95ee	user_options->version	0
TOP.69ee281e.000b95ee	user_options->workload_profile	2
TOP.69ee281e.000b95ee	user_options->brain_client	0
TOP.69ee281e.000b95ee	user_options->brain_client_features	2
TOP.69ee281e.000b95ee	user_options->brain_server	0
TOP.69ee281e.000b95ee	user_options->brain_server_timer	300
TOP.69ee281e.000b95ee	user_options->brain_port	6863
TOP.69ee281e.000b95ee	user_options->brain_session	0
TOP.69ee281e.000b95ee	proc_start	1777215518
TOP.69ee281e.000b95ee	proc_stop	1777215521
TOP.69ee281e.000b95ee	STOP
TOP.69ee2852.000e31ab	START
TOP.69ee2852.000e31ab	folder_config->cwd	C:\Users\Lenovo\Desktop\Mini Project\Penetration-Testing-Framework-API\tools\hashcat
TOP.69ee2852.000e31ab	folder_config->install_dir	.
TOP.69ee2852.000e31ab	folder_config->profile_dir	.
TOP.69ee2852.000e31ab	folder_config->session_dir	.
TOP.69ee2852.000e31ab	folder_config->shared_dir	.
TOP.69ee2852.000e31ab	user_options->encoding_from	utf-8
TOP.69ee2852.000e31ab	user_options->encoding_to	utf-8
TOP.69ee2852.000e31ab	user_options->outfile	C:\Users\Lenovo\Desktop\Mini Project\Penetration-Testing-Framework-API\reports\hashcat_output\cracked_20260426_202930.txt
TOP.69ee2852.000e31ab	user_options->rule_buf_l	:
TOP.69ee2852.000e31ab	user_options->rule_buf_r	:
TOP.69ee2852.000e31ab	user_options->session	hashcat
TOP.69ee2852.000e31ab	user_options->separator	:
TOP.69ee2852.000e31ab	user_options->limit	0
TOP.69ee2852.000e31ab	user_options->skip	0
TOP.69ee2852.000e31ab	user_options->attack_mode	0
TOP.69ee2852.000e31ab	user_options->backend_devices_virtmulti	1
TOP.69ee2852.000e31ab	user_options->backend_devices_virthost	1
TOP.69ee2852.000e31ab	user_options->backend_devices_keepfree	0
TOP.69ee2852.000e31ab	user_options->benchmark	0
TOP.69ee2852.000e31ab	user_options->benchmark_all	0
TOP.69ee2852.000e31ab	user_options->benchmark_max	99999
TOP.69ee2852.000e31ab	user_options->benchmark_min	0
TOP.69ee2852.000e31ab	user_options->bitmap_max	18
TOP.69ee2852.000e31ab	user_options->bitmap_min	16
TOP.69ee2852.000e31ab	user_options->debug_mode	0
TOP.69ee2852.000e31ab	user_options->dynamic_x	0
TOP.69ee2852.000e31ab	user_options->hash_info	0
TOP.69ee2852.000e31ab	user_options->force	1
TOP.69ee2852.000e31ab	user_options->hwmon	1
TOP.69ee2852.000e31ab	user_options->hwmon_temp_abort	90
TOP.69ee2852.000e31ab	user_options->hash_mode	0
TOP.69ee2852.000e31ab	user_options->hex_charset	0
TOP.69ee2852.000e31ab	user_options->hex_salt	0
TOP.69ee2852.000e31ab	user_options->hex_wordlist	0
TOP.69ee2852.000e31ab	user_options->hook_threads	12
TOP.69ee2852.000e31ab	user_options->identify	0
TOP.69ee2852.000e31ab	user_options->increment	0
TOP.69ee2852.000e31ab	user_options->increment_max	256
TOP.69ee2852.000e31ab	user_options->increment_min	1
TOP.69ee2852.000e31ab	user_options->keep_guessing	0
TOP.69ee2852.000e31ab	user_options->kernel_accel	0
TOP.69ee2852.000e31ab	user_options->kernel_loops	0
TOP.69ee2852.000e31ab	user_options->kernel_threads	0
TOP.69ee2852.000e31ab	user_options->keyspace	0
TOP.69ee2852.000e31ab	user_options->total_candidates	0
TOP.69ee2852.000e31ab	user_options->left	0
TOP.69ee2852.000e31ab	user_options->logfile	1
TOP.69ee2852.000e31ab	user_options->loopback	0
TOP.69ee2852.000e31ab	user_options->machine_readable	0
TOP.69ee2852.000e31ab	user_options->markov_classic	0
TOP.69ee2852.000e31ab	user_options->markov	1
TOP.69ee2852.000e31ab	user_options->markov_inverse	0
TOP.69ee2852.000e31ab	user_options->markov_threshold	256
TOP.69ee2852.000e31ab	user_options->metal_compiler_runtime	120
TOP.69ee2852.000e31ab	user_options->multiply_accel	1
TOP.69ee2852.000e31ab	user_options->backend_info	0
TOP.69ee2852.000e31ab	user_options->backend_vector_width	0
TOP.69ee2852.000e31ab	user_options->optimized_kernel	0
TOP.69ee2852.000e31ab	user_options->outfile_autohex	1
TOP.69ee2852.000e31ab	user_options->outfile_check_timer	5
TOP.69ee2852.000e31ab	user_options->outfile_format	2
TOP.69ee2852.000e31ab	user_options->outfile_json	0
TOP.69ee2852.000e31ab	user_options->wordlist_autohex	1
TOP.69ee2852.000e31ab	user_options->potfile	1
TOP.69ee2852.000e31ab	user_options->progress_only	0
TOP.69ee2852.000e31ab	user_options->quiet	0
TOP.69ee2852.000e31ab	user_options->remove	0
TOP.69ee2852.000e31ab	user_options->remove_timer	60
TOP.69ee2852.000e31ab	user_options->restore	0
TOP.69ee2852.000e31ab	user_options->restore_enable	1
TOP.69ee2852.000e31ab	user_options->restore_timer	1
TOP.69ee2852.000e31ab	user_options->rp_files_cnt	0
TOP.69ee2852.000e31ab	user_options->rp_gen	0
TOP.69ee2852.000e31ab	user_options->rp_gen_func_max	4
TOP.69ee2852.000e31ab	user_options->rp_gen_func_min	1
TOP.69ee2852.000e31ab	user_options->rp_gen_seed	0
TOP.69ee2852.000e31ab	user_options->runtime	0
TOP.69ee2852.000e31ab	user_options->scrypt_tmto	0
TOP.69ee2852.000e31ab	user_options->segment_size	33554432
TOP.69ee2852.000e31ab	user_options->self_test	1
TOP.69ee2852.000e31ab	user_options->slow_candidates	0
TOP.69ee2852.000e31ab	user_options->show	0
TOP.69ee2852.000e31ab	user_options->speed_only	0
TOP.69ee2852.000e31ab	user_options->spin_damp	0
TOP.69ee2852.000e31ab	user_options->status	0
TOP.69ee2852.000e31ab	user_options->status_json	0
TOP.69ee2852.000e31ab	user_options->status_timer	10
TOP.69ee2852.000e31ab	user_options->stdout_flag	0
TOP.69ee2852.000e31ab	user_options->usage	0
